# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.989675347273535566e+00,4.818181818181817988e+01,2.809157622578943234e-02,3.726596001362116084e+01,1.011001534125265877e+01,1.624134358747973336e-02,9.003134833084475019e+01,1.392944336051117027e+01
2.007128639793478886e+00,4.772727272727272663e+01,2.786977027150287778e-02,3.793132521210738162e+01,1.018512669430849726e+01,1.587307579227313289e-02,9.151871188028250970e+01,1.406263224418025004e+01
2.024581932313422428e+00,4.727272727272727337e+01,2.764564899385959715e-02,3.861984066228810519e+01,1.026023359270800484e+01,1.550324014946671478e-02,9.284581455600904576e+01,1.419725697143399756e+01
2.042035224833365525e+00,4.681818181818182012e+01,2.741922438908991552e-02,3.933316256982831760e+01,1.033535891953287589e+01,1.512820537733205149e-02,9.401474772718498230e+01,1.433450543741780159e+01
2.059488517353308623e+00,4.636363636363635976e+01,2.719052768844371429e-02,4.007150311046801505e+01,1.041052558595013444e+01,1.473748823914839030e-02,9.502390106440414286e+01,1.447809255935997541e+01
2.076941809873252165e+00,4.590909090909090651e+01,2.695960499350879072e-02,4.083466299862184457e+01,1.048575656618877616e+01,1.430925879414746658e-02,9.589480734518924976e+01,1.463594197942570752e+01
2.094395102393195263e+00,4.545454545454545325e+01,2.672650442803115034e-02,4.162357589541646519e+01,1.056107493275094988e+01,1.382062093925429287e-02,9.656834130677165717e+01,1.481636521380494642e+01
2.111848394913138804e+00,4.500000000000000000e+01,2.649127326523605802e-02,4.244062222768571502e+01,1.063650389198946300e+01,1.325399230367980963e-02,9.689832515712369343e+01,1.502550542833359160e+01
2.129301687433081902e+00,4.454545454545454675e+01,2.625396350842339188e-02,4.328816782313750622e+01,1.071206682018724621e+01,1.264216370029041733e-02,9.670878611432031846e+01,1.525058151954148045e+01
2.146754979953025444e+00,4.409090909090908639e+01,2.601461062818816866e-02,4.416431648639915863e+01,1.078778730029046251e+01,1.204572122660941061e-02,9.595918503466371874e+01,1.546855465892248738e+01
