# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.012290966156711214e+00,7.351598173515981216e+01,4.155694698618817712e-02,1.125336980001742404e+01,4.774286259103927677e+00,4.045876075199461575e-02,1.297067322369782971e+01,5.507232399031130043e+00
1.029744258676654312e+00,7.305936073059359614e+01,4.143159047772387166e-02,1.144175445521990930e+01,4.858297698352981975e+00,4.022187346183318801e-02,1.336134672833685499e+01,5.663611798489989191e+00
1.047197551196597631e+00,7.260273972602739434e+01,4.130603933147363599e-02,1.163361386391194152e+01,4.942409209650492130e+00,3.995213462646503289e-02,1.381355758926559396e+01,5.840475097905422075e+00
1.064650843716540951e+00,7.214611872146117832e+01,4.118025457047697069e-02,1.182715378399453066e+01,5.026620867207345356e+00,3.964152960322401414e-02,1.434589399976096402e+01,6.042257273586497668e+00
1.082104136236484271e+00,7.168949771689497652e+01,4.105419684896247090e-02,1.202280575508845928e+01,5.110931177015129556e+00,3.928726495546971953e-02,1.496645144229880664e+01,6.269546294886266580e+00
1.099557428756427591e+00,7.123287671232876050e+01,4.092782640832057922e-02,1.222110650237777385e+01,5.195338220588276990e+00,3.890039406060440130e-02,1.566264427440618867e+01,6.513759110566820887e+00
1.117010721276370910e+00,7.077625570776255870e+01,4.080110298907425881e-02,1.242083161538830005e+01,5.279841976148196281e+00,3.849423989924227046e-02,1.641263672877355972e+01,6.765074362415886000e+00
1.134464013796314230e+00,7.031963470319634268e+01,4.067398579165538985e-02,1.262453171798207663e+01,5.364442829593506268e+00,3.808212545199763516e-02,1.719490484954771148e+01,7.014198875611900696e+00
1.151917306316257550e+00,6.986301369863012667e+01,4.054643337887108706e-02,1.282872316475702235e+01,5.449140797683494242e+00,3.767737369948475495e-02,1.798267108534940562e+01,7.252615776752927346e+00
1.169370598836200648e+00,6.940639269406392486e+01,4.041840363467103653e-02,1.303675883500968169e+01,5.533935904241046977e+00,3.729330762231790330e-02,1.874664011922285312e+01,7.472739347815155142e+00
1.186823891356144189e+00,6.894977168949770885e+01,4.028985366136995233e-02,1.324929765462406372e+01,5.618828038728642227e+00,3.694008162773673026e-02,1.946248964222726485e+01,7.669682921545565080e+00
1.204277183876087287e+00,6.849315068493150704e+01,4.016073973075835746e-02,1.346246202506973866e+01,5.703816372101379706e+00,3.661071322131779354e-02,2.014108288535802771e+01,7.848408313925961721e+00
1.221730476396030607e+00,6.803652968036529103e+01,4.003101717776252899e-02,1.368029079904958500e+01,5.788898748036507058e+00,3.629245294785624076e-02,2.080629230992876799e+01,8.016488418647444547e+00
1.239183768915973927e+00,6.757990867579908922e+01,3.990064034095385653e-02,1.390072953340983908e+01,5.874074936713681971e+00,3.597254700903820129e-02,2.148192256086990426e+01,8.180784711778285256e+00
1.256637061435917246e+00,6.712328767123287321e+01,3.976956245127103579e-02,1.412424483712293721e+01,5.959344877678200980e+00,3.563824160654974205e-02,2.219480447341243590e+01,8.347432941440755982e+00
1.274090353955860566e+00,6.666666666666665719e+01,3.963773556128852293e-02,1.435246105832501406e+01,6.044708326656002662e+00,3.527678294207696463e-02,2.297484983109215051e+01,8.521777439046140046e+00
1.291543646475803886e+00,6.621004566210045539e+01,3.950511042529159661e-02,1.458208312778346993e+01,6.130165047392339694e+00,3.487545045029333268e-02,2.384851810109725889e+01,8.708232408970918215e+00
1.308996938995747206e+00,6.575342465753423937e+01,3.937163641800662389e-02,1.481718524440891294e+01,6.215714746063849105e+00,3.442709178239707069e-02,2.483201565966649582e+01,8.907705170180561183e+00
1.326450231515690303e+00,6.529680365296803757e+01,3.923726140082602759e-02,1.505510823492607209e+01,6.301357100908279385e+00,3.393632080220873593e-02,2.591320441878140457e+01,9.115475614561864504e+00
1.343903524035633845e+00,6.484018264840182155e+01,3.910193163094593388e-02,1.529712694693550645e+01,6.387091759939724334e+00,3.340924630285365543e-02,2.707681146883598089e+01,9.326530629199210054e+00
1.361356816555576943e+00,6.438356164383561975e+01,3.896559160829790591e-02,1.554455760191849301e+01,6.472918347835171282e+00,3.285198636960384028e-02,2.830017583982918694e+01,9.536801739544882750e+00
