# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.396263401595463582e+00,6.363636363636363313e+01,3.595041296234838951e-02,1.749676213624319132e+01,6.179874472124080143e+00,3.189781596857130253e-02,3.261817025469661502e+01,8.139706104098403117e+00
1.413716694115406902e+00,6.318181818181817988e+01,3.582200374379351793e-02,1.782051445667858047e+01,6.251928933555539913e+00,3.131147414406272589e-02,3.525037024236645067e+01,8.375484038672031062e+00
1.431169986635350000e+00,6.272727272727272663e+01,3.569330499880100233e-02,1.814942571600433396e+01,6.323529675174824227e+00,3.073599652736139914e-02,3.781384615256611426e+01,8.596756397457305354e+00
1.448623279155293542e+00,6.227272727272727337e+01,3.556427598302300958e-02,1.848439892957203057e+01,6.394664603174058826e+00,3.018401145235751620e-02,4.025277688190476510e+01,8.799900705245935484e+00
1.466076571675236861e+00,6.181818181818181301e+01,3.543487550274713321e-02,1.882716144480244935e+01,6.465323720188894896e+00,2.966814725294122587e-02,4.251798648908220457e+01,8.982383344974053330e+00
1.483529864195180181e+00,6.136363636363635976e+01,3.530506182513910851e-02,1.917865912757078206e+01,6.535494012899387251e+00,2.920102396969182293e-02,4.456467583506120889e+01,9.142318389649899402e+00
1.500983156715123279e+00,6.090909090909090651e+01,3.517479247664282577e-02,1.953854481428491141e+01,6.605165486057396507e+00,2.878810714751024735e-02,4.637552196112838487e+01,9.280036223534533946e+00
1.518436449235066599e+00,6.045454545454545325e+01,3.504402421549372010e-02,1.991282560060176721e+01,6.674353290920224779e+00,2.841464230789630951e-02,4.801823971652425627e+01,9.401992158560059210e+00
1.535889741755009918e+00,6.000000000000000000e+01,3.491271303171878532e-02,2.030768051400184149e+01,6.743083865397481169e+00,2.806232807456002926e-02,4.957483902934265529e+01,9.515009140588238878e+00
1.553343034274953460e+00,5.954545454545454675e+01,3.478081412539891365e-02,2.072804063970008670e+01,6.811384561691069095e+00,2.771286307121132927e-02,5.112788978821523500e+01,9.625373336483406206e+00
1.570796326794896558e+00,5.909090909090908639e+01,3.464828168736561187e-02,2.116474786205128211e+01,6.879281041049612355e+00,2.734794592156018084e-02,5.276184408508060386e+01,9.738973098127567951e+00
1.588249619314839878e+00,5.863636363636363313e+01,3.451506877211124591e-02,2.161433877123252856e+01,6.946798539812124140e+00,2.695135216119380270e-02,5.455699250577999493e+01,9.860891497513870618e+00
1.605702911834782975e+00,5.818181818181817988e+01,3.438112729623293146e-02,2.208043146533857382e+01,7.013961625880132722e+00,2.652517624577153260e-02,5.651440593292947057e+01,9.990501527913920654e+00
1.623156204354726295e+00,5.772727272727272663e+01,3.424640803416467011e-02,2.256150381303806185e+01,7.080794239005447466e+00,2.608104853901262177e-02,5.859289349752481257e+01,1.012445234377137915e+01
1.640609496874669837e+00,5.727272727272727337e+01,3.411086043762982106e-02,2.305705984351760307e+01,7.147319785048586560e+00,2.563068135885201299e-02,6.074863729741739604e+01,1.025953510001564517e+01
1.658062789394613157e+00,5.681818181818181301e+01,3.397443239226724532e-02,2.356899787865198803e+01,7.213561157477732522e+00,2.518578702322467680e-02,6.293336319993942141e+01,1.039259518825943474e+01
1.675516081914556255e+00,5.636363636363635976e+01,3.383707020044594144e-02,2.409841840017237047e+01,7.279540786074051084e+00,2.475587640619117749e-02,6.510430410909987131e+01,1.052112740353552667e+01
1.692969374434499574e+00,5.590909090909090651e+01,3.369871857947236149e-02,2.464585419784018328e+01,7.345280678005819297e+00,2.433511299469455491e-02,6.728355036788431676e+01,1.064714471016882769e+01
1.710422666954442894e+00,5.545454545454545325e+01,3.355932048564571474e-02,2.521123191304609179e+01,7.410802454827712715e+00,2.391112668095586591e-02,6.950870977512015259e+01,1.077454897670821410e+01
1.727875959474386436e+00,5.500000000000000000e+01,3.341881679262649618e-02,2.579484643592065751e+01,7.476127391962984703e+00,2.347152325209004783e-02,7.183982445873836298e+01,1.090725801434287234e+01
1.745329251994329534e+00,5.454545454545454675e+01,3.327714625713932423e-02,2.639854273812764518e+01,7.541276454631068660e+00,2.300390849521201722e-02,7.433776750432905089e+01,1.104927284982715463e+01
1.762782544514272853e+00,5.409090909090908639e+01,3.313424551208142554e-02,2.702349404201784111e+01,7.606270331515077920e+00,2.249588819743671836e-02,7.682789937337641106e+01,1.120439723127779885e+01
1.780235837034215951e+00,5.363636363636363313e+01,3.299004878171712257e-02,2.766733222311207285e+01,7.671129469779730314e+00,2.193623150333903413e-02,7.907009285701249723e+01,1.137555022150362660e+01
1.797689129554159271e+00,5.318181818181817988e+01,3.284448750162125702e-02,2.832649684744244922e+01,7.735874108469364963e+00,2.133556844036734595e-02,8.092817086252993874e+01,1.155869329411211766e+01
1.815142422074102813e+00,5.272727272727272663e+01,3.269749029223899955e-02,2.899693443613855592e+01,7.800524309262896416e+00,2.072397283308412969e-02,8.219395286377586274e+01,1.174368596189275138e+01
1.832595714594046132e+00,5.227272727272727337e+01,3.254898290979639508e-02,2.967402986032558587e+01,7.865099988688988297e+00,2.013219636490102063e-02,8.282891479020067038e+01,1.192041141116216174e+01
1.850049007113989230e+00,5.181818181818181301e+01,3.239888782251724997e-02,3.035520944456538928e+01,7.929620949936901475e+00,1.958544926480039125e-02,8.291534844639963353e+01,1.208108613443406831e+01
1.867502299633932550e+00,5.136363636363635976e+01,3.224712399388492134e-02,3.104164073314805350e+01,7.994106911922330028e+00,1.908343160638027031e-02,8.256190981713582744e+01,1.222593773957045471e+01
1.884955592153875870e+00,5.090909090909090651e+01,3.209360686834920179e-02,3.173498212811937336e+01,8.058577539955482649e+00,1.861850741782579075e-02,8.185733660390370403e+01,1.235741162910083801e+01
1.902408884673818967e+00,5.045454545454545325e+01,3.193824776212105671e-02,3.243591810204911496e+01,8.123052476846472914e+00,1.818304007223650598e-02,8.089805834509776616e+01,1.247796909332529225e+01
1.919862177193762509e+00,5.000000000000000000e+01,3.178095299329997125e-02,3.314446385574119347e+01,8.187551371384943266e+00,1.776946427429008935e-02,7.972122614966050946e+01,1.258993117260657790e+01
1.937315469713705829e+00,4.954545454545454675e+01,3.162162381702192382e-02,3.386069872222780219e+01,8.252093908547738721e+00,1.737210387849171325e-02,7.833654683578217259e+01,1.269498014101763417e+01
1.954768762233649149e+00,4.909090909090908639e+01,3.146015673779231636e-02,3.458491489910927186e+01,8.316699840834969493e+00,1.698732123148992412e-02,7.677325716058128080e+01,1.279418487602285381e+01
1.972222054753592246e+00,4.863636363636363313e+01,3.129644416566692428e-02,3.531756802984440213e+01,8.381389017219868620e+00,1.661157993418563641e-02,7.502861001432718524e+01,1.288850368155805270e+01
1.989675347273535566e+00,4.818181818181817988e+01,3.113037444053181474e-02,3.605920733841317372e+01,8.446181413866007404e+00,1.624134358747973336e-02,7.311958112055913261e+01,1.297883811404959253e+01
