# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
5.235987755982988157e-01,8.630136986301369006e+01,4.177669865871470184e-02,8.795367584624424140e+00,2.605345769531781652e+00,4.587394037491530907e-02,4.198753146786720514e+00,1.265996950785118536e+00
5.410520681182421354e-01,8.584474885844748826e+01,4.152182825832100715e-02,9.104292877230820480e+00,2.696588728176612548e+00,4.571263579357191104e-02,4.366796700893323724e+00,1.315054491192897412e+00
5.585053606381854552e-01,8.538812785388127224e+01,4.126936080980585925e-02,9.413172464106043691e+00,2.788146228442556662e+00,4.555523518975727881e-02,4.531779538613406544e+00,1.363167860810964971e+00
5.759586531581287749e-01,8.493150684931507044e+01,4.101940222473663550e-02,9.722206590871378395e+00,2.880006589281014939e+00,4.540288368951509584e-02,4.692587944642613529e+00,1.409970900255600013e+00
5.934119456780720947e-01,8.447488584474885442e+01,4.077205543663674908e-02,1.003040421406606342e+01,2.972157200305029168e+00,4.525587110131407825e-02,4.848729838374183920e+00,1.455355200275680438e+00
6.108652381980153034e-01,8.401826484018263841e+01,4.052741678097924322e-02,1.033766863395034896e+01,3.064586412078105226e+00,4.511225922639045677e-02,5.002037112498125104e+00,1.499903459526935157e+00
6.283185307179586232e-01,8.356164383561643660e+01,4.028558335294008669e-02,1.064481293580753984e+01,3.157284715379959028e+00,4.496975168504232373e-02,5.154852878011256578e+00,1.544321819468472023e+00
6.457718232379019430e-01,8.310502283105022059e+01,4.004665977794346493e-02,1.095176793228427492e+01,3.250238734702569410e+00,4.482605209756788944e-02,5.309636401052010513e+00,1.589330145501421487e+00
6.632251157578452627e-01,8.264840182648401878e+01,3.981075230178358904e-02,1.126028789152595877e+01,3.343430692215973554e+00,4.467886408426530870e-02,5.469071594953227589e+00,1.635662725957313546e+00
6.806784082777884715e-01,8.219178082191780277e+01,3.957796646520876649e-02,1.156894201704911040e+01,3.436851619955005877e+00,4.452589126543275017e-02,5.635873358959480051e+00,1.684069532834319149e+00
6.981317007977317912e-01,8.173515981735158675e+01,3.934840270236922982e-02,1.187982381202952276e+01,3.530492978440500362e+00,4.436483726136833394e-02,5.812598449256265454e+00,1.735318309605818010e+00
7.155849933176751110e-01,8.127853881278538495e+01,3.912215661137315864e-02,1.219090404421567087e+01,3.624336299454081090e+00,4.419340569237025645e-02,6.001783482876714260e+00,1.790197415472638998e+00
7.330382858376184307e-01,8.082191780821916893e+01,3.889930667408952186e-02,1.250341142462496080e+01,3.718369965339703320e+00,4.400930017873671413e-02,6.206003946318164211e+00,1.849519708311010646e+00
7.504915783575617505e-01,8.036529680365296713e+01,3.868001142922806307e-02,1.281800796462965053e+01,3.812586355821617090e+00,4.381022434076578542e-02,6.428337266904511793e+00,1.914127652175944272e+00
