# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
8.552113334772214470e-01,7.762557077625569946e+01,3.894999002499374002e-02,1.013905152381026653e+01,3.519457098181140609e+00,4.235462637774163597e-02,5.089297802915869973e+00,2.080053321285416423e+00
8.726646259971647668e-01,7.716894977168949765e+01,3.879196070192641316e-02,1.047584498211116788e+01,3.601095939697327442e+00,4.210520682397948106e-02,5.348840633090097718e+00,2.166473017131550716e+00
8.901179185171079755e-01,7.671232876712328164e+01,3.863537449907248483e-02,1.082213715881437643e+01,3.683373760065691283e+00,4.186536155092141637e-02,5.610911983941645254e+00,2.252084116273740388e+00
9.075712110370514063e-01,7.625570776255707983e+01,3.848015839799933530e-02,1.117231205700648111e+01,3.766297807988104651e+00,4.163941434632401073e-02,5.870022348567434989e+00,2.335126383598220112e+00
9.250245035569946150e-01,7.579908675799086382e+01,3.832624217363576891e-02,1.153158247383498214e+01,3.849875112121942777e+00,4.143127213689007382e-02,6.119576973213363580e+00,2.413738739909597530e+00
9.424777960769379348e-01,7.534246575342464780e+01,3.817355813392495772e-02,1.189670364312215334e+01,3.934111486197212848e+00,4.123827909610967152e-02,6.361281660444809027e+00,2.488468776388295112e+00
9.599310885968812546e-01,7.488584474885844600e+01,3.802204087381499259e-02,1.226930980392905113e+01,4.019012325135498997e+00,4.105255566900679193e-02,6.603232196201970439e+00,2.562084067418110678e+00
9.773843811168245743e-01,7.442922374429222998e+01,3.787162725190672263e-02,1.264916579322400203e+01,4.104585705824061570e+00,4.086607762380452258e-02,6.856005071791048344e+00,2.637704077692947457e+00
9.948376736367677831e-01,7.397260273972602818e+01,3.772225615492678930e-02,1.303652437212559789e+01,4.190839328762708149e+00,4.067082072872611059e-02,7.131300818826317389e+00,2.718743569121785164e+00
1.012290966156711214e+00,7.351598173515981216e+01,3.757386829954383056e-02,1.343108591276913266e+01,4.277778762013486613e+00,4.045876075199461575e-02,7.443610036575943667e+00,2.808945681070303291e+00
1.029744258676654312e+00,7.305936073059359614e+01,3.742640621917575627e-02,1.383278085476160513e+01,4.365409587184960749e+00,4.022187346183318801e-02,7.810285214815855248e+00,2.912447757081565669e+00
1.047197551196597631e+00,7.260273972602739434e+01,3.727981408344247655e-02,1.424288893217892848e+01,4.453739248271052276e+00,3.995213462646503289e-02,8.251106216280406969e+00,3.033882683462477026e+00
1.064650843716540951e+00,7.214611872146117832e+01,3.713403750628235106e-02,1.465963938560452817e+01,4.542776564569446229e+00,3.964152960322401414e-02,8.792062692270818047e+00,3.178519264415091694e+00
1.082104136236484271e+00,7.168949771689497652e+01,3.698902353564192946e-02,1.508519655320049324e+01,4.632528550790406818e+00,3.928726495546971953e-02,9.456239832869210105e+00,3.349879699973929537e+00
1.099557428756427591e+00,7.123287671232876050e+01,3.684472054445209893e-02,1.551751603771243992e+01,4.722998566471262372e+00,3.890039406060440130e-02,1.024348811275412530e+01,3.544927940188224103e+00
1.117010721276370910e+00,7.077625570776255870e+01,3.670107802643760714e-02,1.596099990883443631e+01,4.814193402694725954e+00,3.849423989924227046e-02,1.114009223306228158e+01,3.758718542803510143e+00
1.134464013796314230e+00,7.031963470319634268e+01,3.655804657367735244e-02,1.640925503957362253e+01,4.906120464866948971e+00,3.808212545199763516e-02,1.212029762230884700e+01,3.985188626874703655e+00
1.151917306316257550e+00,6.986301369863012667e+01,3.641557783573837886e-02,1.686790053163615966e+01,4.998786759708739424e+00,3.767737369948475495e-02,1.315487034428330482e+01,4.217004031636787609e+00
1.169370598836200648e+00,6.940639269406392486e+01,3.627362432366886685e-02,1.733342584620752902e+01,5.092199197109875897e+00,3.729330762231790330e-02,1.420476437710495787e+01,4.445558080423071878e+00
1.186823891356144189e+00,6.894977168949770885e+01,3.613213935130329263e-02,1.780755380852501091e+01,5.186364556460334008e+00,3.694008162773673026e-02,1.523059357293149141e+01,4.663083433808716372e+00
