# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
2.111848394913138804e+00,4.474885844748857977e+01,3.005155935896962338e-02,2.984838506192262741e+01,6.327174999023347013e+00,1.291777245368577569e-02,3.441250080887873253e+01,1.121983828056030497e+01
2.129301687433081902e+00,4.429223744292237086e+01,2.988309389944825839e-02,3.087983191656497794e+01,6.399173278954334521e+00,1.230419746205821049e-02,3.339141281247204063e+01,1.129905657360679072e+01
2.146754979953025444e+00,4.383561643835616195e+01,2.971173905593124664e-02,3.194400328295382252e+01,6.471940509931059182e+00,1.174033113411633404e-02,3.248015839735099064e+01,1.136826654974919037e+01
2.164208272472968542e+00,4.337899543378995304e+01,2.953734041794051773e-02,3.304281812712259381e+01,6.545490270881513695e+00,1.126660829191754656e-02,3.171696550874028731e+01,1.142393674303646911e+01
2.181661564992911639e+00,4.292237442922374413e+01,2.935973447342121040e-02,3.417285108534414917e+01,6.619835238522643550e+00,1.086778939056975979e-02,3.108665497424966162e+01,1.146916298958567459e+01
2.199114857512855181e+00,4.246575342465753522e+01,2.917874392700646122e-02,3.534491055400597048e+01,6.694985582995022000e+00,1.051962299572399388e-02,3.054345373049235945e+01,1.150748563824736337e+01
2.216568150032798723e+00,4.200913242009131920e+01,2.899417419300249002e-02,3.656277915850947124e+01,6.770955109647699643e+00,1.019785767303121350e-02,3.004811940895064737e+01,1.154198738820015180e+01
2.234021442552741821e+00,4.155251141552511029e+01,2.880582397057852156e-02,3.782480745590414983e+01,6.847757672638232762e+00,9.878297089299544614e-03,2.955358050083184551e+01,1.157542252865761156e+01
2.251474735072684918e+00,4.109589041095890138e+01,2.861349984077344102e-02,3.912025701105699937e+01,6.925407466894818675e+00,9.543995425045508768e-03,2.904176027843469399e+01,1.160955534685432511e+01
2.268928027592628460e+00,4.063926940639269247e+01,2.841706437523676063e-02,4.046718935796886996e+01,7.003918067144421222e+00,9.192413592147953907e-03,2.851533615942736688e+01,1.164457353288802821e+01
2.286381320112572002e+00,4.018264840182648356e+01,2.821648980344073493e-02,4.184848610997300966e+01,7.083297913321501049e+00,8.822714044844939124e-03,2.796544072771997591e+01,1.168048638877648848e+01
2.303834612632515100e+00,3.972602739726027465e+01,2.801181837976739544e-02,4.330064050241750806e+01,7.163561868166675950e+00,8.434094211813333852e-03,2.739142589874340672e+01,1.171729641231806518e+01
2.321287905152458197e+00,3.926940639269405864e+01,2.780312079529239505e-02,4.479143251735437303e+01,7.244724761995587237e+00,8.030816067971860428e-03,2.679509457867077771e+01,1.175454286034293361e+01
2.338741197672401295e+00,3.881278538812784973e+01,2.759044973015864488e-02,4.634030261762434577e+01,7.326800375645041719e+00,7.627460757254480445e-03,2.622008601952513374e+01,1.179089186964873370e+01
2.356194490192344837e+00,3.835616438356164082e+01,2.737384440648098216e-02,4.793639930036731300e+01,7.409796572672854964e+00,7.239865352005482764e-03,2.566452797081042192e+01,1.182502468767730797e+01
2.373647782712288379e+00,3.789954337899543191e+01,2.715336267976391563e-02,4.959320869204863413e+01,7.493729105202208807e+00,6.883866924569147575e-03,2.515977104573135037e+01,1.185573081390997174e+01
2.391101075232231477e+00,3.744292237442922300e+01,2.692904923451661797e-02,5.131940272422124849e+01,7.578614395487348609e+00,6.573279005812053544e-03,2.471886580807679223e+01,1.188204518936015930e+01
2.408554367752174574e+00,3.698630136986301409e+01,2.670094619645249287e-02,5.311572687584599350e+01,7.664459636370045459e+00,6.305769548395469791e-03,2.434884476590945468e+01,1.190437294552294922e+01
2.426007660272118116e+00,3.652968036529679807e+01,2.646912883624622306e-02,5.496968356321422533e+01,7.751279207901176527e+00,6.071276478424703082e-03,2.402770927859383576e+01,1.192369981869956597e+01
2.443460952792061214e+00,3.607305936073058916e+01,2.623364351194088298e-02,5.689437988968828819e+01,7.839089168387075368e+00,5.859689341572705407e-03,2.373761332173538463e+01,1.194094973907864876e+01
