# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.029744258676654312e+00,7.318181818181817277e+01,2.105032129439704178e-02,4.117236174977251295e+01,5.784431541918083397e+00,4.028826816620913881e-02,1.308448979436693982e+01,1.561870393128105050e+00
1.047197551196597631e+00,7.272727272727271952e+01,2.083652923453312503e-02,4.178838071571276913e+01,5.877693560620698143e+00,4.002939028090691381e-02,1.341215181266565892e+01,1.601895144493143963e+00
1.064650843716540951e+00,7.227272727272726627e+01,2.062833188171060705e-02,4.241667556457070276e+01,5.970903460920538919e+00,3.973217585363381793e-02,1.378874577958656289e+01,1.648038160270429486e+00
1.082104136236484271e+00,7.181818181818181301e+01,2.042538364275650956e-02,4.305741724238676227e+01,6.064068893773131741e+00,3.939095168534852837e-02,1.422162684010416811e+01,1.701272842718899003e+00
1.099557428756427591e+00,7.136363636363635976e+01,2.022736751246438300e-02,4.371089238266614529e+01,6.157197604152779391e+00,3.901370569657572340e-02,1.470083295720822925e+01,1.760460243694057070e+00
1.117010721276370910e+00,7.090909090909090651e+01,2.003399195781907852e-02,4.437756702145136245e+01,6.250297074659122210e+00,3.861357067596993958e-02,1.520980498704608408e+01,1.823634739142845129e+00
1.134464013796314230e+00,7.045454545454545325e+01,1.984498819738872780e-02,4.505796811046983663e+01,6.343373582470743344e+00,3.820368878449507261e-02,1.573189106331014919e+01,1.888787335058763173e+00
1.151917306316257550e+00,7.000000000000000000e+01,1.966010784261269795e-02,4.575338320136361148e+01,6.436433634996983955e+00,3.779720218311492103e-02,1.625037180829538030e+01,1.953857194441748657e+00
1.169370598836200648e+00,6.954545454545454675e+01,1.947912086394901210e-02,4.646540260097866337e+01,6.529484737832406793e+00,3.740725303279332503e-02,1.674846876377959148e+01,2.016725144733288122e+00
1.186823891356144189e+00,6.909090909090909349e+01,1.930181379122187374e-02,4.719472138148218221e+01,6.622534515542108480e+00,3.704608665053916311e-02,1.721047372363674910e+01,2.075357731757267565e+00
1.204277183876087287e+00,6.863636363636364024e+01,1.912798804874573863e-02,4.794182051219641494e+01,6.715590483772794883e+00,3.671218446792901685e-02,1.763821873400695495e+01,2.129924240088898468e+00
1.221730476396030607e+00,6.818181818181817277e+01,1.895745861363934762e-02,4.870728104711204764e+01,6.808660156476113556e+00,3.639325347556213175e-02,1.804735239881695819e+01,2.182379207930732701e+00
1.239183768915973927e+00,6.772727272727271952e+01,1.879005277544268382e-02,4.949191229986245588e+01,6.901751012090194592e+00,3.607671296982619541e-02,1.845394898892236313e+01,2.234776204935916333e+00
1.256637061435917246e+00,6.727272727272726627e+01,1.862560893549631072e-02,5.029664819926940567e+01,6.994870499412066067e+00,3.574998224710876360e-02,1.887413102991616398e+01,2.289222461439470280e+00
1.274090353955860566e+00,6.681818181818181301e+01,1.846397575893898857e-02,5.112247670643955644e+01,7.088026057197205354e+00,3.540048060379742678e-02,1.932408349517350743e+01,2.347885262971860065e+00
1.291543646475803886e+00,6.636363636363635976e+01,1.830501114055754081e-02,5.197043568284951220e+01,7.181225071706982988e+00,3.501562733627980317e-02,1.982006386914495621e+01,2.413005394882732357e+00
1.308996938995747206e+00,6.590909090909090651e+01,1.814858154482116778e-02,5.284137400052163969e+01,7.274474436087481344e+00,3.458497363326996227e-02,2.037580616546965473e+01,2.486554913205333950e+00
1.326450231515690303e+00,6.545454545454545325e+01,1.799456118801634127e-02,5.373614294293113858e+01,7.367780537367582205e+00,3.411023356569256593e-02,2.098960671883581597e+01,2.568509445073545727e+00
1.343903524035633845e+00,6.500000000000000000e+01,1.784283148658410631e-02,5.465624616796535662e+01,7.461150758146430029e+00,3.359742799653732404e-02,2.165433047816928891e+01,2.658131118557504280e+00
1.361356816555576943e+00,6.454545454545454675e+01,1.769328039409532108e-02,5.560253237976769469e+01,7.554592542945930411e+00,3.305258281031706741e-02,2.236268982109056935e+01,2.754684117420333589e+00
1.378810109075520263e+00,6.409090909090909349e+01,1.754580197416573395e-02,5.657587336543380729e+01,7.648113275194024396e+00,3.248239366699691433e-02,2.310643637647833515e+01,2.857300695311536742e+00
