# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
3.333578871309169411e+00,1.318181818181818166e+01,7.687582698797778419e-03,7.045390395821195284e+01,1.826475900957424514e+01,6.088964016229761337e-04,2.215407412067084891e+01,1.987795958014301334e+01
3.351032163829112509e+00,1.272727272727272663e+01,7.430598649257572248e-03,6.821896023517167862e+01,1.834442213250691722e+01,6.175732941022735178e-04,2.218673193411655120e+01,1.987653084326130326e+01
3.368485456349056051e+00,1.227272727272727160e+01,7.173539189191570874e-03,6.599247390357879794e+01,1.842218870719547752e+01,6.249781567082126959e-04,2.221468365201306128e+01,1.987531091998391730e+01
3.385938748868999149e+00,1.181818181818181834e+01,6.916420539205317061e-03,6.379115283211827148e+01,1.849809345799147309e+01,6.306670753655072492e-04,2.223620912271915984e+01,1.987437329180418288e+01
3.403392041388942246e+00,1.136363636363636331e+01,6.659257284884788526e-03,6.161935018204864889e+01,1.857217391445316679e+01,6.341996131224883308e-04,2.224959772846423078e+01,1.987379089574254465e+01
3.420845333908885788e+00,1.090909090909090828e+01,6.402061644431046410e-03,5.947584466821788141e+01,1.864446391677611459e+01,6.351353330275139823e-04,2.225314705344741384e+01,1.987363660465391746e+01
3.438298626428828886e+00,1.045454545454545503e+01,6.144846870136646579e-03,5.735062420811093631e+01,1.871498284085490482e+01,6.330337981288887937e-04,2.224517730072336974e+01,1.987398311407655527e+01
3.455751918948772872e+00,1.000000000000000000e+01,5.887627418032594963e-03,5.525998329008580612e+01,1.878376770048908284e+01,6.274545714749706982e-04,2.222404834074826496e+01,1.987490280851800861e+01
3.473205211468715969e+00,9.545454545454544970e+00,5.630417157946924177e-03,5.320343922643854029e+01,1.885085301971812299e+01,6.179572161140910657e-04,2.218817930835453112e+01,1.987646760802213208e+01
3.490658503988659067e+00,9.090909090909089940e+00,5.373229069785136203e-03,5.118217935983054900e+01,1.891627298878611185e+01,6.041012950946011073e-04,2.213607062664442537e+01,1.987874879624691715e+01
3.508111796508602609e+00,8.636363636363636687e+00,5.116075737699103503e-03,4.919426755785608663e+01,1.898005756061044380e+01,5.854463714648123519e-04,2.206632829206373358e+01,1.988181683172545533e+01
3.525565089028545707e+00,8.181818181818181657e+00,4.858969552072840009e-03,4.723745673748172891e+01,1.904223195057335616e+01,5.615520082730825159e-04,2.197769020445901589e+01,1.988574114448116958e+01
3.543018381548488804e+00,7.727272727272726627e+00,4.601922922909921707e-03,4.531971174440046468e+01,1.910283009605889859e+01,5.319777685677362471e-04,2.186905426886254133e+01,1.989058992072494192e+01
3.560471674068431902e+00,7.272727272727272485e+00,4.344948607957214472e-03,4.344113939291963078e+01,1.916188468891544261e+01,4.962832153971316954e-04,2.173950793162543249e+01,1.989642987897581605e+01
3.577924966588375444e+00,6.818181818181818343e+00,4.088059734924665185e-03,4.160250549754573512e+01,1.921942815491203405e+01,4.540279118095801188e-04,2.158835874175298386e+01,1.990332604162049535e+01
3.595378259108318542e+00,6.363636363636363313e+00,3.831269549806062651e-03,3.980444917915014713e+01,1.927549261122732815e+01,4.051232583777969855e-04,2.141639117372291778e+01,1.991128434081043252e+01
3.612831551628261639e+00,5.909090909090909172e+00,3.574591073837128478e-03,3.804709595297440217e+01,1.933010926153189857e+01,3.512135381242129551e-04,2.123048084432610949e+01,1.992002877226940782e+01
3.630284844148205625e+00,5.454545454545454142e+00,3.318037078874953253e-03,3.633481428165701743e+01,1.938331467475008552e+01,2.944756275818000472e-04,2.103892017791313762e+01,1.992920023482449920e+01
3.647738136668148723e+00,5.000000000000000000e+00,3.061620098561809462e-03,3.468411423286193696e+01,1.943516947985954602e+01,2.370865476435258645e-04,2.084939810623259859e+01,1.993844429790792105e+01
3.665191429188092265e+00,4.545454545454544970e+00,2.805352633296429726e-03,3.310605614130442831e+01,1.948575229317182433e+01,1.812233192023381687e-04,2.066896535587362749e+01,1.994741145536060500e+01
3.682644721708035362e+00,4.090909090909090828e+00,2.549247329991198140e-03,3.159753954562214062e+01,1.953513951253752623e+01,1.290629631512046167e-04,2.050406280183704766e+01,1.995575687191555758e+01
3.700098014227978460e+00,3.636363636363636243e+00,2.293316988165896870e-03,3.015234607614973683e+01,1.958340045104036875e+01,8.278250038308634657e-05,2.036060805387268857e+01,1.996313968855019283e+01
3.717551306747922002e+00,3.181818181818181657e+00,2.037574559947704419e-03,2.876579787442844349e+01,1.963059947017520912e+01,4.455895179095104903e-05,2.024413637235304009e+01,1.996922192471956947e+01
3.735004599267865100e+00,2.727272727272727071e+00,1.782033150071196930e-03,2.743337518523503249e+01,1.967679604631373635e+01,1.656933826775308928e-05,2.015999314356767869e+01,1.997366700401537187e+01
3.752457891787808197e+00,2.272727272727272485e+00,1.526706015878347101e-03,2.615156398791560122e+01,1.972204536862535562e+01,9.906807064401280547e-07,2.011357701071949577e+01,1.997613791147399098e+01
3.769911184307751739e+00,1.818181818181818121e+00,1.271606567318524618e-03,2.493964433752866938e+01,1.976639874769349348e+01,0.000000000000000000e+00,2.011063536106932048e+01,1.997629496556307771e+01
3.787364476827694837e+00,1.363636363636363535e+00,1.016748366948495722e-03,2.380117758037077280e+01,1.980990397010867099e+01,1.577431704137366200e-05,2.015761719652184780e+01,1.997379315583346227e+01
3.804817769347637935e+00,9.090909090909090606e-01,7.621450835348184821e-04,2.274615193951946779e+01,1.985260562362834591e+01,5.049065272352885159e-05,2.026209242357598583e+01,1.996827895840415223e+01
3.822271061867581921e+00,4.545454545454545303e-01,5.078103064634210788e-04,2.178115589736949786e+01,1.989454540066218158e+01,1.063260279394534290e-04,2.043325121609603201e+01,1.995938649599208503e+01
3.839724354387525018e+00,0.000000000000000000e+00,2.537574993419959373e-04,2.090401584006340485e+01,1.993576234925330937e+01,1.854574635820481390e-04,2.068250221982500392e+01,1.994673285728569567e+01
